to be,was/were,been,zijn
to become,became,become,worden
to begin,began,begun,beginnen
to bet,bet,bet,wedden
to bite,bit,bitten,bijten
to break,broke,broken,breken
to bring,brought,brought,brengen
to build,built,built,bouwen
to burn,burnt,burnt,branden
to buy,bought,bought,kopen
to catch,caught,caught,vangen
to choose,chose,chosen,kiezen
to come,came,come,komen
to cost,cost,cost,kosten
to cut,cut,cut,snijden; knippen
to dig,dug,dug,graven
to do,did,done,doen
to draw,drew,drawn,tekenen
to drink,drank,drunk,drinken
to drive,drove,driven,rijden
to eat,ate,eaten,eten
to fall,fell,fallen,vallen
to feed,fed,fed,eten geven
to feel,felt,felt,voelen
to fight,fought,fought,vechten
to find,found,found,vinden
to flee,fled,fled,vluchten
to fly,flew,flown,vliegen
to forget,forgot,forgotten,vergeten
to forgive,forgave,forgiven,vergeven
to freeze,froze,frozen,(be)vriezen
to get,got,got,krijgen
to give,gave,given,geven
to go,went,gone,gaan
to grow,grew,grown,groeien
to hang,hung,hung,hangen
to have,had,had,hebben
to hear,heard,heard,horen
to hide,hid,hidden,verbergen
to hit,hit,hit,slaan; raken
to hold,held,held,vasthouden
to hurt,hurt,hurt,pijn doen
to keep,kept,kept,(vast)houden
to know,knew,known,weten; kennen
to learn,learnt,learnt,leren
to leave,left,left,achterlaten
to lend,lent,lent,(uit)lenen
to let,let,let,laten; verhuren
to lie,lay,lain,liggen
to lose,lost,lost,verliezen
to make,made,made,maken
to meet,met,met,ontmoeten
to pay,paid,paid,betalen
to put,put,put,plaatsen; zetten
to read,read,read,lezen
to rise,rose,risen,(op)stijgen
to run,ran,run,rennen
to say,said,said,zeggen
to see,saw,seen,zien
to sell,sold,sold,verkopen
to send,sent,sent,(ver)sturen
to set,set,set,instellen
to shake,shook,shaken,schudden
to show,showed,shown,laten zien
to sing,sang,sung,zingen
to sit,sat,sat,zitten
to sleep,slept,slept,slapen
to speak,spoke,spoken,spreken
to spend,spent,spent,uitgeven
to stand,stood,stood,staan
to swim,swam,swum,zwemmen
to take,took,taken,nemen
to teach,taught,taught,iemand iets leren
to tell,told,told,vertellen
to think,thought,thought,denken
to throw,threw,thrown,gooien
to wear,wore,worn,dragen
to win,won,won,winnen
to write,wrote,written,schrijven
